Time,Motor1,Motor2,Motor3,Motor4
1674475682.753168,68,66,70,66
1674475683.755371,65,66,66,64
1674475684.7576804,74,65,68,62
1674475685.759609,134,135,132,128
1674475686.761354,92,89,91,90
1674475687.7632208,94,91,95,93
1674475688.7659874,73,77,73,73
1674475689.7689812,89,80,89,79
1674475690.7707272,72,67,72,69
1674475691.7723584,125,118,124,115
1674475692.7747903,91,83,89,80
1674475693.7773993,80,79,84,80
1674475694.7794623,53,54,60,57
1674475695.7827833,51,46,47,49
1674475696.78484,49,53,46,51
1674475697.7901528,81,70,81,75
1674475698.795493,83,81,79,86
1674475699.7983837,147,146,150,151
1674475700.8004339,126,109,119,113
1674475701.8021374,92,93,92,93
1674475702.8042705,106,97,104,100
1674475703.8154857,92,84,94,84
1674475704.8200307,141,129,132,126
1674475705.82202,88,92,89,93
1674475706.8238387,112,109,113,107
1674475707.8260138,70,67,73,70
1674475708.8280602,151,151,145,148
1674475709.829944,86,85,86,80
1674475710.8319485,64,57,58,59
1674475711.8341568,90,95,89,101
1674475712.836523,51,51,53,57
1674475713.8385506,121,121,127,123
1674475714.8404667,148,148,145,152
1674475715.8422544,150,150,147,154
1674475716.8438847,79,81,79,79
1674475717.846192,0,0,0,0
1674475718.8487232,0,0,0,0
1674475719.8507247,0,0,0,0
1674475720.8546221,0,0,0,0
Time,Motor1,Motor2,Motor3,Motor4
1674475742.419263,0,0,0,0
1674475743.421274,8,8,8,8
1674475744.4231572,80,73,67,72
1674475745.4299753,2,0,0,1
1674475746.4319227,26,30,28,32
1674475747.4336574,31,35,30,33
1674475748.4353795,28,32,30,34
1674475749.4377708,63,68,60,65
1674475750.4401083,80,77,79,81
1674475751.444075,51,44,43,52
1674475752.446206,71,63,66,66
1674475753.4478896,107,99,96,103
1674475754.4500256,157,148,163,153
1674475755.452468,143,133,144,135
1674475756.4544754,70,64,66,62
1674475757.4565413,47,33,39,39
1674475758.4588037,62,53,51,58
1674475759.4662287,1,0,0,0
1674475760.4704137,1,0,0,0
1674475761.473552,0,5,13,0
1674475762.4760113,1,0,2,0
1674475763.478091,0,0,0,0
